name,alt_name,ra,dec,bv_color,parallax
HR 1232,,195.68119,-40.48674,1,
HR 1233,,180.07243,-30.97649,0.42,
HR 1234,,159.90074,-11.90817,-0.01,
HR 1235,,204.19897,-43.74936,1.48,
HR 1236,,276.74108,-43.1074,1.1,
HR 1237,,174.3421,-26.15168,0.06,
HR 1238,,173.65354,-25.50124,0.32,
HR 1239,35Lam Tau,178.37174,-29.37573,-0.12,0.002
HR 124,,119.90635,-9.91628,1.15,0.008
HR 1240,36Tau9Eri,219.64723,-47.6245,-0.13,0.015
HR 1241,,139.14644,12.18203,1.54,
HR 1242,,145.51428,5.02951,0.5,
HR 1243,,180.75607,-30.79986,0.02,
HR 1244,35    Eri,191.88328,-37.81444,-0.15,
HR 1245,,268.50295,-45.53236,0.44,
HR 1246,,229.22767,-48.70794,0.04,
HR 1247,Del Ret,274.01878,-43.77571,1.62,-0.001
HR 1248,,141.3839,9.90998,0.14,
HR 1249,,190.74052,-36.87222,0.5,0.057
HR 125,Lam1Phe,311.74848,-67.98049,0.02,0.027
HR 1250,,260.81693,-47.14115,1.64,
HR 1251,38Nu  Tau,184.67981,-33.05858,0.03,0.03
HR 1252,36    Tau,169.6676,-20.78812,0.86,0.014
HR 1253,40    Tau,185.30922,-33.2826,-0.08,
HR 1254,,182.77841,-31.53201,0.37,0.03
HR 1255,,149.17953,1.39743,0.99,
HR 1256,37    Tau,171.27772,-22.15084,1.07,0.013
HR 1257,,187.90281,-34.76466,0.5,0.02
HR 1258,,214.57512,-45.74119,-0.18,
HR 1259,,214.6159,-45.70085,1.22,
HR 126,Bet1Tuc,306.77862,-54.02133,-0.07,0.03
HR 1260,,143.67504,7.65779,0.42,
HR 1261,47Lam Per,151.62557,-1.32162,0.02,
HR 1262,39    Tau,171.44597,-22.09483,0.62,0.063
HR 1263,,209.94099,-44.34341,1.26,
HR 1264,Gam Ret,274.80528,-43.21409,1.65,
HR 1265,,205.17201,-42.76939,1.08,
HR 1266,Iot Ret,273.43421,-43.63633,1.42,0.014
HR 1267,,215.0327,-45.53386,1.16,
HR 1268,41    Tau,167.42814,-17.95925,-0.13,
HR 1269,42Psi Tau,166.46246,-16.89958,0.34,
HR 127,Bet2Tuc,306.77406,-54.01391,0.15,0.03
HR 1270,,145.47634,6.01317,1.14,
HR 1271,,299.19716,-30.55626,-0.01,0.008
HR 1272,,200.69702,-40.65062,0.06,
HR 1273,48    Per,153.65426,-3.04511,-0.03,0.02
HR 1274,,215.32435,-45.33148,0.92,
HR 1275,,225.30591,-47.18157,0.31,0.045
HR 1276,,148.92411,2.2745,,
HR 1277,49    Per,160.43543,-10.42167,0.95,0.02
HR 1278,50    Per,160.27004,-10.14653,0.46,0.049
HR 1279,,177.37773,-26.33046,0.4,0.007
HR 128,,119.2856,-19.24255,-0.01,
HR 1280,,175.62892,-24.82852,1.5,0.006
HR 1281,,137.1474,15.10062,1.01,
HR 1282,,139.7315,12.48388,1.18,
HR 1283,43Ome1Tau,174.00135,-23.09167,1.07,0.023
HR 1284,,179.1064,-27.24455,0.05,
HR 1285,,247.92792,-47.57334,0.93,
HR 1286,,163.77,-13.02887,1.44,
HR 1287,44    Tau,168.96035,-18.07996,0.34,
HR 1288,,210.32127,-43.12241,-0.15,
HR 1289,,128.40159,23.40086,-0.13,0.003
HR 129,,121.44231,8.16237,-0.01,
HR 1290,37    Eri,199.18747,-38.75582,0.94,
HR 1291,,252.20713,-47.01599,0.38,
HR 1292,45    Tau,186.58107,-31.7238,0.36,0.032
HR 1293,,201.39571,-39.57675,1.06,
HR 1294,,276.88338,-41.65366,0.64,0.038
HR 1295,,176.47183,-24.06319,1.08,
HR 1296,,147.69318,4.73108,0.61,
HR 1297,,172.41598,-20.55413,0.19,
HR 1298,38Omi1Eri,199.32357,-38.39126,0.33,0.033
HR 1299,,236.63019,-47.05448,1.07,
HR 13,,355.91143,-78.67105,1.12,
HR 130,15Kap Cas,120.83615,0.135,0.14,
HR 1300,,215.72225,-43.98749,0.18,
HR 1301,,161.09851,-9.46579,,
HR 1302,Del Hor,246.49623,-47.0177,0.33,0.012
HR 1303,51Mu  Per,153.9393,-1.82429,0.95,0.017
HR 1304,,128.83581,23.15253,0.87,0.015
HR 1305,,144.78186,8.04148,-0.14,
HR 1306,52    Per,159.45075,-7.54008,1.01,0.004
HR 1307,,182.68608,-28.4161,0.05,
HR 1308,,183.85903,-29.24737,0.16,
HR 1309,46    Tau,184.93164,-29.96138,0.36,0.03
HR 131,52    Psc,116.94751,-42.35825,1.08,0.032
HR 1310,,180.50583,-26.76452,1.16,
HR 1311,47    Tau,183.59619,-28.93585,0.8,0.029
HR 1312,,193.5353,-35.06751,-0.13,
HR 1313,,147.61669,5.21463,1.09,
HR 1314,,150.54129,2.12613,0.05,0.011
HR 1315,,183.04345,-28.34401,-0.1,
HR 1316,,249.91234,-46.50936,1.48,
HR 1317,,130.89223,21.50201,1.17,0.014
HR 1318,39    Eri,203.57873,-39.45101,1.17,0.015
HR 1319,48    Tau,178.58974,-24.70277,0.4,
HR 132,51    Psc,114.54664,-55.60583,0,
HR 1320,49Mu  Tau,184.2074,-28.85415,-0.06,
HR 1321,,186.65726,-30.50358,0.7,
HR 1322,,186.67914,-30.5,0.59,
HR 1323,,244.07395,-46.57673,1.46,
HR 1324,,153.02101,-0.08896,0.04,
HR 1325,40Omi2Eri,200.75262,-38.04787,0.82,0.209
HR 1326,Alp Hor,246.87951,-46.41423,1.1,0.026
HR 1327,,142.71769,10.6598,0.81,
HR 1328,,158.72309,-5.92852,-0.08,
HR 1329,50Ome2Tau,174.60513,-21.03326,0.26,
HR 133,,117.82183,-35.10392,,
HR 1330,,153.30554,-0.15563,0.22,
HR 1331,51    Tau,173.99593,-20.17006,0.28,
HR 1332,,199.7599,-37.0314,1.08,
HR 1333,,152.80338,0.57366,-0.01,
HR 1334,,184.16691,-27.92952,0.16,
HR 1335,,145.99783,7.67041,1.49,
HR 1336,Alp Ret,274.31421,-41.65337,0.91,0.013
HR 1337,,159.23785,-5.88949,0.94,
HR 1338,Gam Dor,259.83485,-44.78492,0.3,0.061
HR 1339,53    Tau,174.51653,-20.27901,-0.08,
HR 134,,117.96232,-34.41172,1,0.006
HR 1340,,273.94245,-41.72014,1.1,0.006
HR 1341,56    Tau,174.04368,-19.82838,-0.14,
HR 1342,,149.02994,4.70411,,
HR 1343,54    Per,164.4709,-10.95512,0.94,
HR 1344,,166.35448,-12.80858,1.71,
HR 1345,,216.86847,-42.62143,1.67,
HR 1346,54Gam Tau,179.08388,-23.81562,0.99,0.028
HR 1347,41Ups4Eri,234.6749,-45.47101,-0.12,
HR 1348,52Phi Tau,169.83421,-15.94326,1.15,
HR 1349,,183.80795,-27.30384,1.43,
HR 135,,120.28283,-7.88278,1.04,
HR 1350,53    Per,156.08047,-2.40449,-0.03,
HR 1351,57    Tau,180.45886,-24.79877,0.28,
HR 1352,,146.90648,6.99098,,
HR 1353,,219.84138,-43.21407,0.3,
HR 1354,,176.61351,-21.68572,0.37,
HR 1355,Eps Ret,270.20403,-42.56361,1.08,0.067
HR 1356,58    Tau,179.66849,-24.00518,0.22,
HR 1357,,272.3001,-42.00905,0.07,0.015
HR 1358,,180.75999,-24.73423,0.46,
HR 1359,,234.86084,-45.24333,0.13,0.007
HR 136,Bet3Tuc,306.53588,-53.96605,0.04,0.049
HR 1360,,187.6145,-29.49129,0.92,
HR 1361,,184.80992,-27.61737,0.15,
HR 1362,,200.01701,-36.20011,0.91,
HR 1363,,201.49592,-36.83399,-0.13,
HR 1364,,249.60898,-45.3164,1.08,0.005
HR 1365,,261.58485,-44.08603,0.49,
HR 1366,,193.74786,-32.85591,1.32,0.008
HR 1367,,217.00909,-42.06817,-0.02,0.007
HR 1368,60    Tau,180.77628,-24.37803,0.32,
HR 1369,59Chi Tau,171.50599,-16.74234,-0.05,
HR 137,16    Cas,121.24937,3.93418,-0.08,
HR 1370,,175.25675,-19.9749,1.66,0.015
HR 1371,,159.23568,-5.01071,0,0.002
HR 1372,The Ret,275.08562,-41.01119,-0.07,
HR 1373,61Del1Tau,178.01539,-22.00862,0.98,0.021
HR 1374,,223.73387,-43.29784,0.35,0.057
HR 1375,,175.31687,-19.66497,0.03,
HR 1376,63    Tau,178.72927,-22.41128,0.3,
HR 1377,55    Per,165.38449,-10.6503,-0.06,
HR 1378,62    Tau,172.76297,-17.39262,0.17,
HR 1379,56    Per,165.53053,-10.74732,0.4,0.005
HR 138,,0.00629,-85.40033,1.27,
