hr,ra,dec,parallax
HR  4470,11 36 40.7232286584,-37 14 13.870432680,8.2802 
HR  4471,11 36 56.9307649665,-00 49 25.499792021,18.3461 
HR  4472,11 36 22.3646322240,-61 03 08.761485636,1.8626 
HR  4473,11 37 01.2048265104,-32 59 17.543418972,14.7489 
HR  4474,11 37 53.0008333680,+50 37 05.469784824,6.3162 
HR  4475,11 37 00.5243897688,-61 17 00.396192516,13.8365 
HR  4476,11 37 33.9972508728,-47 44 50.273112768,8.8214 
HR  4477,11 38 20.5700360184,+43 37 31.538562564,20.5974 
HR  4478,11 38 09.8313928728,+08 53 01.649045904,8.4153 
HR  4479,11 37 15.6419931909,-75 53 47.519832950,22.6009 
HR  4480,11 38 33.5147752944,+46 50 03.170992560,9.1616 
HR  4481,11 38 49.13742,+64 20 49.0860,4.74 
HR  4482,11 38 32.3229296736,+33 37 32.984934708,4.2038 
HR  4483,11 38 27.6072679,+08 08 03.466343,5.5646 
HR  4484,11 38 24.0687790754,-02 26 09.254096080,8.3853 
HR  4485,11 37 48.3782342832,-67 37 13.364056560,9.0128 
HR  4486,11 38 44.90018,+45 06 30.3054,43.01 
HR  4487,11 38 07.2695736768,-61 49 35.512404852,10.3827 
HR  4488,11 38 40.0180807728,-13 12 06.981257088,37.245 
HR  4489,11 39 00.4423127832,-24 43 15.940160256,14.7658 
HR  4490,11 39 51.1205731200,-14 28 06.686838876,5.9988 
HR  4491,11 39 50.3341802232,-16 37 12.823259340,3.6888 
HR  4492,11 39 29.5660962396,-65 23 52.099447484,8.3972 
HR  4493,11 40 27.4302004704,+57 58 13.458822204,6.4834 
HR  4494,11 40 12.7897023,-34 44 40.773362,7.27 
HR  4495,11 40 47.0672470128,+21 21 09.818778240,13.6688 
HR  4496,11 41 03.0162706212,+34 12 05.881605449,104.4252 
HR  4497,11 40 42.4807835664,-53 58 06.983461056,3.4052 
HR  4498,11 41 08.4020300201,-29 11 46.446266748,23.1145 
HR  4499,11 40 53.6337884256,-62 05 24.365478084,3.0181 
HR  4500,11 41 43.4969497800,+55 10 19.236084996,3.523 
HR  4501,11 41 34.2564094520,+31 44 45.775062146,23.8297 
HR  4502,11 41 19.7910777168,-43 05 44.397442968,15.6117 
HR  4503,11 41 43.9473963672,-32 29 57.851230272,7.5905 
HR  4504,11 42 28.3617943968,+66 44 41.663333724,6.0383 
HR  4505,11 42 05.1885352176,+22 12 39.793366656,17.4721 
HR  4506,11 42 03.5281173672,-20 17 39.006878352,13.2265 
HR  4507,11 41 01.3082628216,-83 05 59.777340036,9.1605 
HR  4508,11 43 27.1877791848,-37 11 24.578599236,4.8904 
HR  4509,11 42 54.9320619984,-79 18 23.007543588,17.64 
HR  4510,11 43 55.1206844400,-06 40 37.785543672,8.8212 
HR  4511,11 43 31.1923164072,-62 29 21.827165856,0.1537 
HR  4512,11 44 13.1633280768,+25 13 05.955408192,2.9405 
HR  4513,11 43 52.8401124024,-62 52 41.812056984,7.0083 
HR  4514,11 44 45.7759757256,-18 21 02.434939560,9.5113 
HR  4515,11 45 17.0398282505,+08 15 29.209697989,27.5153 
HR  4516,11 45 12.6352376664,-49 04 11.430456852,6.7924 
HR  4517,11 45 51.5595736,+06 31 45.741287,11.10 
HR  4518,11 46 03.0140687528,+47 46 45.855272276,16.4382 
HR  4519,11 45 43.9681702344,-45 41 24.481116708,4.3666 
HR  4520,11 45 36.4191583,-66 43 43.543945,25.65 
HR  4521,11 46 55.6222860288,+55 37 41.480416020,14.8962 
HR  4522,11 46 30.8225717,-61 10 42.236355,8.37 
HR  4523,11 46 31.0725331317,-40 30 01.285867174,107.3024 
HR  4524,11 47 07.0486782264,-35 54 24.714972900,9.3952 
HR  4525,11 47 15.8077477490,-30 17 11.440260481,56.3626 
HR  4526,11 47 19.1412363000,-57 41 47.402548440,3.8874 
HR  4527,11 47 59.13595,+20 13 08.1500,14.02 
HR  4528,11 47 54.8953160400,+08 14 45.213677304,16.4396 
HR  4529,11 48 23.4874826184,-10 18 47.176192764,22.412 
HR  4530,11 48 14.5351009584,-66 48 53.674602912,6.8524 
HR  4531,11 48 38.7105955008,+14 17 03.144222456,14.8338 
HR  4532,11 48 45.0827283219,-26 44 59.200109138,6.9769 
HR  4533,11 49 01.2812674080,-00 19 07.216550976,29.7094 
HR  4534,11 49 03.57834,+14 34 19.4090,90.91 
HR  4535,11 49 14.7884462016,+16 14 34.368797004,16.1252 
HR  4536,11 49 41.7149109408,+34 55 54.329011284,14.4928 
HR  4537,11 49 41.0673344112,-63 47 18.500667000,4.5957 
HR  4538,11 49 56.6154142824,-70 13 32.840828760,2.1101 
HR  4539,11 50 19.6035126480,-15 51 49.193301420,6.0641 
HR  4540,11 50 41.7185158616,+01 45 53.001539131,90.8945 
HR  4541,11 50 27.2770577376,-62 38 57.775776936,0.3699 
HR  4542,11 50 37.1823790128,-27 16 40.573827696,7.7092 
HR  4543,11 50 55.3412608728,+12 16 44.531104440,18.0027 
HR  4544,11 51 02.2295090976,-05 19 59.993484060,14.8582 
HR  4545,11 51 09.5105815824,+33 22 30.046219536,15.8678 
HR  4546,11 51 08.6912007408,-45 10 24.491699724,7.9199 
HR  4547,11 51 21.8971584864,-12 11 16.118948436,22.0687 
HR  4548,11 51 41.6088612912,-30 50 05.306742168,31.6154 
HR  4549,11 51 51.2242408032,-65 12 21.276443520,8.6793 
HR  4550,11 52 58.7673387755,+37 43 07.254113125,109.0296 
HR  4551,11 52 10.2795315456,-56 59 15.870061680,9.3743 
HR  4552,11 52 54.52149,-33 54 29.2672,10.53 
HR  4553,11 53 26.8094654880,-35 03 59.912467740,12.1241 
HR  4554,11 53 49.8473166,+53 41 41.135025,39.21 
HR  4555,11 53 50.2771118328,+00 33 07.613102160,8.0973 
HR  4556,11 54 11.5008593304,-57 24 36.712045476,1.7777 
HR  4557,11 54 25.7898479349,-37 44 56.107697528,20.0093 
HR  4558,11 54 42.5383890201,-25 42 49.983924287,11.4194 
HR  4559,11 55 03.1324561224,+08 26 38.191626816,19.2949 
HR  4560,11 55 05.7460955088,+46 28 36.597092700,10.441 
HR  4561,11 55 11.3304120408,+46 28 11.166446208,5.8915 
HR  4562,11 55 14.0562587328,+36 45 22.953213000,4.8113 
HR  4563,11 55 00.0118327416,-63 16 45.050747196,0.5163 
HR  4564,11 55 40.5327230688,+15 38 48.549860664,7.7561 
HR  4565,11 55 40.1308626336,-28 28 37.574067252,5.9519 
HR  4566,11 55 58.4171473200,+56 35 54.807896544,10.6761 
HR  4567,11 56 00.9541135272,-17 09 02.968088832,13.0075 
HR  4568,11 55 54.7703918184,-39 41 22.262630208,8.1087 
HR  4569,11 56 53.2361279904,+61 32 57.163146360,5.3017 
HR  4570,11 56 43.9149600264,-47 04 20.559728352,19.401 
HR  4571,11 57 03.7456042968,-33 18 55.653117084,8.5308 
HR  4572,11 57 14.5832839344,+40 20 37.463173692,21.7711 
HR  4573,11 57 40.0073575296,-62 26 55.494356496,5.9792 
HR  4574,11 58 07.1737869528,+32 16 26.067763128,21.1752 
HR  4575,11 58 20.5262042040,+61 27 52.412886468,6.1314 
HR  4576,11 58 15.2248428408,-56 19 02.323327728,3.4896 
HR  4577,11 58 20.2846854048,-40 56 50.152610184,10.5586 
HR  4578,11 58 47.6594393976,-64 20 22.413326208,0.7194 
HR  4579,11 58 54.3737001048,-25 54 31.892930892,4.2598 
HR  4580,11 59 03.3373740552,+00 31 50.448886860,4.495 
HR  4581,11 59 17.5322058720,+33 10 01.208774856,5.7626 
HR  4582,11 59 10.8625189032,-51 41 48.342177636,3.025 
HR  4583,11 59 37.57634,-78 13 18.6179,9.02 
HR  4584,11 59 57.3764916120,+34 02 05.093652480,8.3932 
HR  4585,11 59 56.9134992240,+03 39 18.736620984,10.8636 
HR  4586,12 00 18.6037415568,+80 51 11.460727260,3.0214 
HR  4587,12 00 44.4601479291,-10 26 46.067117528,78.3359 
HR  4588,12 00 42.2218184568,-21 50 14.990221068,5.2042 
HR  4589,12 00 52.3904208,+06 36 51.557103,8.49 
HR  4590,12 00 51.1591616208,-19 39 32.332235148,1.6891 
HR  4591,12 01 01.7386341936,-01 46 05.398393800,5.9374 
HR  4592,12 01 29.1926531400,-57 30 13.603408884,9.2491 
HR  4593,12 01 39.4620401544,+36 02 31.477840080,10.4502 
HR  4594,12 02 06.7790915049,+43 02 44.028988799,29.9966 
HR  4595,12 02 20.2393097544,-85 37 54.326367408,9.7144 
HR  4596,12 02 28.4704934760,-71 29 20.333183460,7.3492 
HR  4597,12 02 37.6925929920,-69 11 32.239021344,9.6358 
HR  4598,12 02 51.6608813856,-07 41 01.054374648,4.2143 
HR  4599,12 03 01.5006463465,-63 18 46.543168881,14.5878 
HR  4600,12 03 39.5724147833,-42 26 02.610414638,40.4345 
HR  4601,12 03 44.5055140176,-74 12 50.741851716,3.5872 
HR  4602,12 04 16.59831,+21 27 32.9474,9.90 
HR  4603,12 04 19.2200768232,-63 09 56.516665140,4.7314 
HR  4604,12 04 38.8864844473,-68 19 44.066287343,8.6742 
HR  4605,12 04 46.4708324592,-76 31 08.624931564,6.4916 
HR  4606,12 04 28.1080938744,+85 35 13.672041540,13.0625 
HR  4607,12 04 57.2145897744,-60 58 05.711037420,4.3458 
HR  4608,12 05 12.5318326945,+08 43 58.866875781,19.4936 
HR  4609,12 05 15.1171894272,+76 54 20.642733144,9.928 
HR  4610,12 05 39.7008683688,+62 55 59.226649716,7.5755 
HR  4611,12 05 53.6200137672,-65 32 48.754130532,0.4514 
HR  4612,12 05 56.6623958568,-35 41 38.110610796,4.3972 
HR  4613,12 05 59.8144363320,-03 07 53.727353364,5.8323 
HR  4614,12 06 19.9248673560,-68 39 05.058183240,1.1079 
HR  4615,12 06 23.0100123983,-65 42 34.004990777,8.6070 
HR  4616,12 06 52.8981437690,-64 36 49.430521748,50.7919 
HR  4617,12 07 49.8757213152,-75 22 01.265009196,6.6166 
HR  4618,12 08 05.2222663992,-50 39 40.575451536,9.1857 
HR  4619,12 08 04.8662182320,-50 45 49.129250868,8.6331 
HR  4620,12 08 14.7046343328,-48 41 33.041044536,6.0457 
HR  4621,12 08 21.4976373,-50 43 20.738614,7.86 
HR  4622,12 08 24.7311315768,-60 50 49.667558532,1.2493 
HR  4623,12 08 24.8172764085,-24 43 43.952148016,66.7696 
HR  4624,12 08 53.8008318648,-44 19 33.563648280,10.908 
HR  4625,12 08 54.5892904200,-41 13 53.771811240,1.7927 
HR  4626,12 09 41.3099647056,+01 53 52.404517716,13.386 
HR  4627,12 09 47.0822841600,+74 39 40.879229616,14.0288 
HR  4628,12 10 02.54849,-34 42 17.0771,10.12 
HR  4629,12 10 03.4181594064,+05 48 25.226524440,21.1935 
HR  4630,12 10 07.4805825,-22 37 11.161983,10.26 
HR  4631,12 10 33.8171438760,-37 52 13.257121260,15.3154 
HR  4632,12 10 31.6408011312,+16 48 33.374036088,5.1937 
HR  4633,12 10 46.0951571112,+27 16 53.421950208,11.5847 
HR  4634,12 11 05.1060894504,-61 16 38.728023780,11.2908 
HR  4635,12 11 03.8390016096,-23 36 08.715836340,16.3368 
HR  4636,12 11 02.9106256911,-45 25 22.311589146,3.9306 
HR  4637,12 11 31.4853608736,-51 21 33.596678268,19.2048 
HR  4638,12 11 39.1197479712,-52 22 06.384420264,12.4692 
HR  4639,12 10 59.9795967552,+81 42 35.390138760,1.7267 
HR  4640,12 11 51.1766910240,+25 52 13.007488332,6.5699 
HR  4641,12 11 44.9053264824,+57 03 15.857278164,3.8816 
HR  4642,12 12 01.0165142760,+28 32 10.727707956,13.3069 
HR  4643,12 12 09.2896038720,+20 32 31.423152156,9.0098 
HR  4644,12 12 21.9798609024,-62 57 02.785963212,0.4874 
HR  4645,12 12 47.0199008472,-70 09 06.439196664,1.1707 
HR  4646,12 12 11.9446126056,+77 36 58.468259340,29.5794 
HR  4647,12 13 12.9443867928,-34 07 30.997867620,2.2867 
HR  4648,12 13 25.0368397800,-38 55 45.068771388,2.1566 
HR  4649,12 13 56.4629107152,-78 34 26.171529348,9.1183 
HR  4650,12 13 25.9392594264,+10 15 44.422934616,19.4898 
HR  4651,12 13 36.80571,-33 47 34.5059,7.79 
HR  4652,12 14 02.69745,-45 43 26.0981,5.71 
HR  4653,12 14 16.9257756576,-64 24 30.669334128,0.4107 
HR  4654,12 14 43.4102760960,+53 26 04.656264072,6.6031 
HR  4655,12 14 59.5763465352,-20 50 39.247679976,11.062 
HR  4656,12 15 08.7184790676,-58 44 56.126676618,7.1681 
HR  4657,12 15 10.55731,-10 18 44.6354,44.74 
HR  4658,12 15 30.4492196906,-41 54 47.801472940,8.1853 
HR  4659,12 15 08.4919348200,+70 12 00.030617424,6.9259 
HR  4660,12 15 25.5606327,+57 01 57.415606,40.51 
HR  4661,12 15 46.70370,-23 21 14.0490,14.37 
HR  4662,12 15 48.37081,-17 32 30.9496,21.23 
HR  4663,12 16 00.1865675640,+14 53 56.644424376,15.3309 
HR  4664,12 16 23.8140458304,-72 36 52.196276700,8.9087 
HR  4665,12 15 41.4909161616,+72 33 04.308176484,6.7059 
HR  4666,12 16 07.5490623312,+40 39 36.643119192,4.5205 
HR  4667,12 16 20.5383338546,+23 56 43.466192439,13.0861 
HR  4668,12 16 30.1337441112,+33 03 41.428822680,9.3913 
HR  4669,12 17 06.3097594320,-65 41 34.654744752,9.4241 
HR  4670,12 17 03.3327368592,-16 41 37.448163384,6.814 
HR  4671,12 17 34.2756441824,-67 57 38.652522346,9.9915 
HR  4672,12 17 29.5999526184,+53 11 28.794829092,8.3081 
HR  4673,12 17 30.5738663350,+28 56 13.890845846,18.9966 
HR  4674,12 18 20.8247057534,-79 18 44.042667000,10.7116 
HR  4675,12 17 47.2656378,-36 05 38.323165,6.66 
HR  4676,12 17 44.2599313032,+15 08 40.909965720,5.2584 
HR  4677,12 18 09.2125604472,-03 57 14.891408532,17.5171 
HR  4678,12 18 09.5724683616,-03 56 55.610599452,17.4856 
HR  4679,12 18 26.2420745160,-64 00 11.107331280,9.2402 
HR  4680,12 18 31.6200779592,+30 14 56.568957648,16.3714 
HR  4681,12 18 40.3174863528,-00 47 13.863547104,8.6971 
HR  4682,12 18 59.7616790424,-55 08 34.729599228,6.8899 
HR  4683,12 16 51.3357296568,+86 26 08.947981572,25.016 
HR  4684,12 19 02.0250151224,+26 00 30.060577116,11.6932 
HR  4685,12 19 19.1929880208,+23 02 04.821806040,11.8246 
HR  4686,12 15 20.2712485488,+87 42 00.426459852,20.6685 
HR  4687,12 18 49.9851888120,+75 09 38.018570112,10.169 
HR  4688,12 19 29.5258397040,+28 09 24.904524312,20.9039 
HR  4689,12 19 54.3423981960,-00 40 00.466313196,13.1692 
HR  4690,12 19 48.7105956312,+48 59 02.926914684,5.1237 
HR  4691,12 20 10.7676556,-22 10 32.518069,8.45 
HR  4692,12 20 28.2217292304,-65 50 33.568205244,10.2784 
HR  4693,12 20 19.6769814840,+26 37 10.125858252,20.8032 
HR  4694,12 20 17.7523032840,+26 00 06.748402824,15.1579 
HR  4695,12 20 20.9813922197,+03 18 45.255217001,9.6700 
HR  4696,12 20 33.6419830656,-22 12 57.241705320,8.4789 
HR  4697,12 20 43.0257695904,+17 47 34.327512348,10.1677 
HR  4698,12 20 41.3736628488,+27 03 16.403693328,12.0011 
HR  4699,12 20 55.7128732,-13 33 56.610032,16.21 
HR  4700,12 21 21.6081337639,-60 24 04.133270061,14.1999 
HR  4701,12 20 50.8828164888,+57 51 50.828622984,5.5613 
HR  4702,12 21 57.4276314144,-56 22 27.785548056,1.5081 
HR  4703,12 22 07.3390526592,-67 31 19.572924036,9.9903 
HR  4704,12 22 12.0289268112,-68 18 26.409276036,9.1234 
HR  4705,12 22 10.8268845600,+24 46 25.918451724,9.6251 
HR  4706,12 22 49.4317993896,-57 40 34.068874692,9.6087 
HR  4707,12 22 30.3113907816,+25 50 46.167660348,11.4903 
HR  4708,12 22 32.0379656376,+05 18 19.607871132,33.341 
HR  4709,12 25 38.2336956456,-86 09 02.216684556,2.858 
HR  4710,12 23 13.8898713539,-67 37 53.572986625,19.7289 
HR  4711,12 23 21.5876710560,-24 50 26.413446192,9.5952 
HR  4712,12 23 35.4195245064,-35 24 45.635998860,7.3671 
HR  4713,12 23 36.7431078600,-39 18 08.501665320,8.4756 
HR  4714,12 23 44.7474864240,-38 54 40.961650392,8.9466 
HR  4715,12 23 47.0120783712,+42 32 33.862228260,7.6048 
HR  4716,12 24 01.4942854464,+51 33 44.124636780,8.6643 
HR  4717,12 24 18.5489029728,+26 05 54.921403788,11.1318 
HR  4718,12 24 44.7193136400,-41 23 03.453074664,7.3057 
HR  4719,12 24 26.80314,+25 34 56.6618,11.08 
HR  4720,12 25 17.5321953672,-65 46 11.478020484,20.5238 
HR  4721,12 25 08.5181018328,-42 30 51.526472148,19.0734 
HR  4722,12 25 11.7645188832,-11 36 38.118607308,14.1525 
HR  4723,12 25 18.4104443760,-27 44 56.413272732,5.5602 
HR  4724,12 25 21.7345431432,-35 11 11.098515732,7.1919 
HR  4725,12 25 15.1084294176,+23 55 34.325009796,7.3922 
HR  4726,12 25 03.2081950656,+56 46 40.181406780,3.8461 
HR  4727,12 25 06.3614090976,+63 48 10.004154120,6.2139 
HR  4728,12 25 50.9385584448,+39 01 07.016331180,13.2662 
HR  4729,12 26 30.8829188064,-63 07 20.047147932,9.3964 
HR  4730,12 26 35.896,-63 05 56.73,~ 
HR  4731,12 26 36.442,-63 05 58.28,~ 
HR  4732,12 26 31.7600444794,-51 27 02.288916487,7.3452 
HR  4733,12 26 24.0644226936,+27 16 05.659806648,11.2826 
HR  4734,12 26 48.1417421363,-48 54 47.499505755,37.2211 
HR  4735,12 26 51.6919370472,-32 49 48.446203188,5.7237 
HR  4736,12 27 24.8258538024,-63 47 20.345684424,3.9422 
HR  4737,12 26 56.2725043899,+28 16 06.318485124,19.8641 
HR  4738,12 26 59.2962947904,+26 49 32.526134544,11.9394 
HR  4739,12 27 28.8766637136,-58 59 30.375611628,6.7917 
HR  4740,12 26 24.1913552328,+71 55 47.379748908,7.7679 
HR  4741,12 27 42.0816469128,+08 36 37.237288644,5.8461 
HR  4742,12 27 49.4472896040,-16 37 54.639697440,3.4678 
HR  4743,12 28 02.3821158564,-50 13 50.296708174,7.9249 
HR  4744,12 28 19.2604213104,-64 20 27.562335468,9.4535 
HR  4745,12 27 35.1030044376,+55 42 45.804196800,7.7807 
HR  4746,12 27 51.5474031360,-04 36 54.996375240,12.5178 
HR  4747,12 28 25.6847020656,-61 47 41.430303744,5.9063 
HR  4748,12 28 22.4671645056,-39 02 28.190507856,6.6483 
HR  4749,12 28 33.5941320096,-56 24 28.143567500,23.4705 
HR  4750,12 28 38.1501425400,+26 13 37.021090692,11.6528 
HR  4751,12 28 44.5650287472,+25 53 57.557921208,13.9752 
HR  4752,12 28 54.7022406648,+25 54 46.265813136,12.9991 
HR  4753,12 29 27.0424033224,+24 06 32.122207044,16.5304 
HR  4754,12 29 54.1991155872,-56 31 29.775471816,5.8581 
HR  4755,12 29 57.8903682912,-41 44 09.230422668,3.4435 
HR  4756,12 29 43.2400536144,+20 53 45.989241288,12.0613 
HR  4757,12 29 51.8551642,-16 30 55.552542,37.55 
HR  4758,12 30 04.77431,-13 23 35.4605,40.57 
HR  4759,12 30 17.4453095208,-23 41 47.105485620,3.19 
HR  4760,12 29 57.3223215912,+58 24 20.668103172,11.7987 
HR  4761,12 30 02.8284914040,+51 32 08.275593444,22.8273 
HR  4762,12 30 04.2591356712,+58 46 03.989636292,8.2875 
HR  4763,12 31 09.95961,-57 06 47.5684,36.83 
HR  4764,12 31 16.7131002672,-57 04 52.799316420,5.6431 
HR  4765,12 30 06.6619965864,+69 12 03.974236920,5.7233 
HR  4766,12 31 00.5605002264,+24 34 01.797245328,12.0785 
HR  4767,12 30 50.1358011744,+53 04 35.784940872,44.8247 
HR  4768,12 31 40.3303562544,-59 25 26.124690324,1.7843 
HR  4769,12 32 09.9757273920,-73 00 03.804565428,8.8145 
HR  4770,12 31 21.4148076504,+07 36 15.510964212,4.5238 
HR  4771,12 31 56.1120363264,-63 30 21.021535116,12.618 
HR  4772,12 31 38.7212783760,-05 03 09.335425788,7.7463 
HR  4773,12 32 28.0129260853,-72 07 58.763241944,8.6015 
HR  4774,12 32 04.3890756432,-32 32 01.542648156,6.2656 
HR  4775,12 32 04.2264018482,-16 11 45.618615379,54.8135 
HR  4776,12 32 35.9987021376,-13 51 32.784179616,26.248 
HR  4777,12 33 02.8787475288,+10 17 44.413382544,7.0564 
HR  4778,12 33 22.2465760896,-19 47 32.945772912,7.9019 
HR  4779,12 33 34.2587678832,-12 49 48.735952248,20.3984 
HR  4780,12 33 34.2193153104,+24 16 58.739975472,11.7165 
HR  4781,12 33 46.7485436339,-09 27 07.478534302,11.6865 
HR  4782,12 33 59.1067463904,-49 54 35.327673864,14.9076 
HR  4783,12 33 38.9194903488,+33 14 51.294567840,11.0859 
HR  4784,12 33 47.4144142128,+33 23 04.804135080,8.4404 
HR  4785,12 33 44.5442516547,+41 21 26.921352859,118.0266 
HR  4786,12 34 23.2349224335,-23 23 48.336778328,22.0049 
HR  4787,12 33 28.9433168544,+69 47 17.659892220,7.0093 
HR  4788,12 34 42.3935608056,-44 40 22.867472928,35.1369 
HR  4789,12 34 51.0728182212,+22 37 45.141591409,9.1148 
HR  4790,12 35 29.4431726424,-61 50 29.497970508,21.0597 
HR  4791,12 35 06.3451660176,+18 22 37.532257716,8.9477 
HR  4792,12 35 07.7605456776,+18 22 37.410763584,8.9188 
HR  4793,12 35 08.1669518712,+21 52 52.987877328,5.3057 
HR  4794,12 35 45.5318060064,-41 01 19.008243912,28.446 
HR  4795,12 34 44.0192875512,+70 01 18.405292548,6.6159 
HR  4796,12 36 01.0317461592,-39 52 10.220465388,14.13 
HR  4797,12 35 58.7960250624,-20 31 38.916008868,13.2558 
HR  4798,12 37 11.0178886,-69 08 08.033239,10.34 
HR  4799,12 36 47.3542031016,-05 49 54.841962612,14.0684 
HR  4800,12 36 23.4652834704,+59 29 12.980496552,0.9894 
HR  4801,12 36 58.3317860232,+17 05 22.324887780,5.7764 
HR  4802,12 37 42.1640998080,-48 32 28.699293408,24.2953 
HR  4803,12 37 42.2793762600,-27 08 19.987900512,29.2822 
HR  4804,12 39 14.57557,-75 22 14.1384,5.73 
HR  4805,12 38 04.4154495432,+03 16 56.799219108,4.6178 
HR  4806,12 38 52.3591679664,-67 11 34.979127864,0.3836 
HR  4807,12 38 22.4057053224,+01 51 16.779667860,5.6444 
HR  4808,12 38 29.9338039680,+06 59 19.028080356,2.1959 
HR  4809,12 38 44.6130768480,-18 15 00.372403188,15.0236 
HR  4810,12 39 03.4508644488,-30 25 20.543101536,5.692 
HR  4811,12 38 46.2769175928,+40 52 28.787416500,14.5217 
HR  4812,12 39 02.1794851536,+22 39 34.193065212,7.9091 
HR  4813,12 39 14.7669620640,-07 59 44.033845848,10.3526 
HR  4814,12 39 55.8519065736,-66 30 40.090934880,8.806 
HR  4815,12 39 07.3025867784,+21 03 45.300179376,11.9544 
HR  4816,12 39 16.8606994152,+35 57 07.050433068,7.2665 
HR  4817,12 39 52.5283944,-39 59 14.290592,8.94 
HR  4818,12 41 22.9847572656,-46 08 44.100022272,4.5432 
HR  4819,12 41 31.04008,-48 57 35.5375,25.06 
HR  4820,12 42 05.0260775712,-69 24 27.197699652,1.0656 
HR  4821,12 41 15.9525645216,-13 00 50.036265504,12.2688 
HR  4822,12 41 16.2277173792,-13 00 53.529499296,13.8949 
HR  4823,12 41 56.5691823528,-59 41 08.954444508,3.8643 
HR  4824,12 41 34.3919383824,+10 25 34.568504040,13.9563 
HR  4825,12 41 39.6282288151,-01 26 57.854228847,83.1935 
HR  4826,12 41 39.5425844770,-01 26 57.847656959,78.5233 
HR  4827,12 41 49.3927871568,-19 45 32.740951464,15.7764 
HR  4828,12 41 53.0569475088,+10 14 08.252569320,25.6921 
HR  4829,12 41 57.1172895264,+06 48 23.817528576,12.2199 
HR  4830,12 42 50.2663572384,-63 03 31.052981412,2.2826 
HR  4831,12 42 35.4513079543,-48 48 47.197138463,16.8384 
HR  4832,12 42 49.7636060376,-55 56 49.299160092,9.2719 
HR  4833,12 41 33.9103459680,+62 42 46.942521552,5.5537 
HR  4834,12 43 09.1786206456,-56 10 34.418250804,8.0946 
HR  4835,12 43 28.3215591528,-58 54 09.874004328,6.4573 
HR  4836,12 43 26.2636926480,-40 10 40.255048920,14.1137 
HR  4837,12 43 38.0495440368,-01 34 37.184663244,14.8622 
HR  4838,12 43 58.6688189496,-36 20 56.944127112,3.8063 
HR  4839,12 44 00.5312996088,-28 19 26.246998776,7.692 
HR  4840,12 43 04.1281856016,+61 09 19.516875804,6.1282 
HR  4841,12 45 02.0548703544,-68 49 50.712914640,1.0182 
HR  4842,12 45 38.0516684592,-60 58 52.756277052,26.1753 
HR  4843,12 44 27.0991819848,+44 06 10.821539340,10.088 
HR  4844,12 46 16.80410,-68 06 29.2164,9.55 
HR  4845,12 44 59.4049642264,+39 16 44.098132297,56.9588 
HR  4846,12 45 07.8260815656,+45 26 24.926308404,3.2222 
HR  4847,12 45 37.0584628548,+07 40 23.969843174,12.4487 
HR  4848,12 46 22.7145960,-56 29 19.736605,8.48 
HR  4849,12 46 22.5452871796,+09 32 22.869715907,22.8761 
HR  4850,12 46 46.2279030048,-33 18 55.738301472,8.4081 
HR  4851,12 46 38.7618429528,+16 34 39.676122480,10.6919 
HR  4852,12 44 26.0150914704,+80 37 15.672906552,7.0401 
HR  4853,12 47 43.26877,-59 41 19.5792,11.71 
HR  4854,12 47 02.3094265104,+05 57 01.397945376,5.1967 
HR  4855,12 47 13.6388307744,+11 57 29.113830720,13.6917 
HR  4856,12 47 33.4236775056,-06 18 06.307119756,14.4344 
HR  4857,12 47 53.6446565832,-24 51 05.965471080,4.8395 
HR  4858,12 47 51.4128281376,+03 34 21.770544288,4.9026 
HR  4859,12 47 18.9504873960,+62 46 52.151402820,15.4538 
HR  4860,12 48 26.2575347664,-27 35 50.581161564,10.3805 
HR  4861,12 48 14.3319534864,+13 33 10.932932592,8.4131 
HR  4862,12 49 44.9601736416,-71 59 10.469287716,5.4885 
HR  4863,12 47 34.3433900208,+66 47 25.095345792,4.2243 
HR  4864,12 48 47.0481446766,+24 50 24.818642182,58.4858 
HR  4865,12 48 54.2131506648,+14 07 21.311523480,8.4359 
HR  4866,12 48 41.8031339664,+48 28 00.625838016,6.8208 
HR  4867,12 48 39.4470003426,+60 19 11.037876361,38.1905 
HR  4868,12 50 11.8016200920,-60 24 01.907499456,2.3965 
HR  4869,12 49 17.4507551424,+27 33 08.563249188,11.8615 
HR  4870,12 54 58.80949,-85 07 24.1041,9.27 
HR  4871,12 50 19.4856133872,-48 27 34.357864140,5.7325 
HR  4872,12 50 57.8777637600,-52 47 14.741939544,7.8676 
HR  4873,12 50 17.2954350024,+22 51 48.276654876,8.869 
HR  4874,12 50 41.1633885768,-33 59 57.652650456,7.9731 
HR  4875,12 50 10.7400521424,+37 31 00.979591260,9.1979 
HR  4876,12 51 17.9760267672,-60 19 47.240368104,0.4534 
HR  4877,12 51 22.9323474552,-10 20 17.553566364,6.9188 
HR  4878,12 51 36.8896297464,+03 03 24.432220836,6.1908 
HR  4879,12 51 56.9310942840,-39 40 49.550426148,7.1293 
HR  4880,12 52 05.4335107656,-48 05 39.401348892,6.8314 
HR  4881,12 51 57.8968126608,-26 44 17.772380448,16.0926 
HR  4882,12 52 24.5892092016,-53 49 47.756470836,2.1737 
HR  4883,12 51 41.9201696640,+27 32 26.565016812,11.8467 
HR  4884,12 52 12.2569957560,+17 04 26.189078484,3.0421 
HR  4885,12 53 04.1646472368,-54 57 08.905750164,7.4681 
