hr,ra,dec,parallax
HR   161,00 37 30.4915906848,+03 08 07.268196480,5.0948 
HR   162,00 37 18.2465815272,-54 23 37.747870728,7.0316 
HR   163,00 38 33.3474310042,+29 18 42.311618884,19.2451 
HR   164,00 39 09.8940906336,+49 21 16.517849688,2.1129 
HR   165,00 39 19.6031132231,+30 51 39.540873571,31.5735 
HR   166,00 39 21.8053928046,+21 15 01.712899720,90.0248 
HR   167,00 39 55.5715770744,+21 26 18.588040764,7.5057 
HR   168,00 40 30.4410679,+56 32 14.392170,14.29 
HR   169,00 38 40.6169776512,-73 08 15.409627224,8.6926 
HR   170,00 39 57.8234302713,-33 57 41.218831187,23.7694 
HR   171,00 39 51.9501192576,-44 47 46.651236396,10.3628 
HR   172,00 40 28.5835416576,-16 30 59.982108480,7.5804 
HR   173,00 40 32.7939851012,-23 48 17.728718238,35.0508 
HR   174,00 40 42.3716096304,-04 21 06.625019376,5.2623 
HR   175,00 41 07.1845805160,+39 27 31.189510836,9.4654 
HR   176,00 40 25.6698671445,-59 27 16.566549816,39.5912 
HR   177,00 42 03.4206195912,+66 08 51.335930688,5.9843 
HR   178,00 41 36.0377718120,+24 37 44.448788316,8.3213 
HR   179,00 42 03.8922075864,+50 30 45.120403944,2.9022 
HR   180,00 41 19.5713902706,-46 05 05.932907801,14.2847 
HR   181,00 42 31.0424087640,+58 45 12.289379796,4.3745 
HR   182,00 42 43.12368,+41 16 03.2124,~ 
HR   183,00 41 46.3972997520,-56 30 04.738422240,14.7697 
HR   184,00 43 28.0696827024,+47 01 28.364798856,18.6293 
HR   185,00 42 42.89190,-38 27 48.5416,6.89 
HR   186,00 42 41.9497556976,-60 15 46.103625468,14.4141 
HR   187,00 42 28.3718820672,-65 28 04.906571664,23.6721 
HR   188,00 43 35.37090,-17 59 11.7827,33.86 
HR   189,00 44 26.1915514056,+47 51 50.342883408,4.453 
HR   190,00 43 50.0854491312,-12 00 42.574844340,17.1038 
HR   191,00 43 21.2101237138,-57 27 47.028593879,12.4614 
HR   192,00 45 39.0765692400,+74 59 17.054172672,10.6528 
HR   193,00 44 43.5186650,+48 17 03.713573,4.64 
HR   194,00 44 11.4000904231,-10 36 34.382643011,15.1265 
HR   195,00 44 12.0990327144,-38 25 18.054207912,9.853 
HR   196,00 45 17.1736522992,+55 13 17.030998092,9.2342 
HR   197,00 44 44.3961246504,-22 00 22.080121164,36.8276 
HR   198,00 44 57.0525679464,-42 40 35.612164128,14.9006 
HR   199,00 44 31.65483,-62 29 51.3236,11.41 
HR   200,00 46 38.5057428888,+69 19 31.472585472,24.1865 
HR   201,00 45 24.1250872848,-04 37 44.974889004,3.479 
HR   202,00 44 59.9417881824,-53 42 53.614649304,21.4214 
HR   203,00 45 28.6874352984,-12 52 50.911589280,30.8815 
HR   204,00 46 15.0530326320,+55 18 19.373343192,5.9672 
HR   205,00 46 10.8119890296,+44 51 41.399778060,6.0502 
HR   206,00 45 41.70736,-16 25 27.1846,11.23 
HR   207,00 46 42.4584874152,+59 34 28.347458772,1.5021 
HR   208,00 47 46.0538925192,+74 50 51.251241300,4.1495 
HR   209,00 45 45.5929295136,-47 33 07.142647212,66.4509 
HR   210,00 46 11.7559423656,-22 31 19.570596924,10.4672 
HR   211,00 46 32.9518499592,+15 28 31.832465664,4.5662 
HR   212,00 48 09.1027214832,+72 40 28.188023664,15.2384 
HR   213,00 47 01.4560849248,+11 58 25.865643612,13.628 
HR   214,00 47 13.6263563760,+19 34 43.341535092,9.7863 
HR   215,00 47 20.3257188471,+24 16 01.842781713,18.0083 
HR   216,00 47 23.6337646464,+06 44 27.497493888,8.6186 
HR   217,00 47 54.8276045136,+20 55 31.242238356,15.7885 
HR   218,00 47 43.2211914000,-18 03 40.816774404,8.9278 
HR   219,00 49 06.2945942922,+57 48 54.638239716,168.8322 
HR   220,00 48 01.0650058008,-21 43 21.094694328,8.9627 
HR   221,00 48 17.4097456152,+07 17 59.749694340,5.4954 
HR   222,00 48 22.9759750919,+05 16 50.209484954,134.4948 
HR   223,00 48 50.0214949536,+50 58 05.394457956,9.1537 
HR   224,00 48 40.9443145328,+07 35 06.294902124,10.8577 
HR   225,00 48 58.7075574408,+16 56 26.324381004,42.7505 
HR   226,00 49 48.8473652,+41 04 44.076380,5.28 
HR   227,00 49 25.6169251248,-13 33 40.575789900,9.9817 
HR   228,00 49 13.9502186808,-24 08 11.990652936,18.1441 
HR   229,00 48 56.7275244816,-46 41 51.523347228,7.8938 
HR   230,00 49 52.8738026040,+27 42 38.911000608,11.3099 
HR   231,00 49 53.1664217465,+27 42 37.037441270,11.2529 
HR   232,00 49 33.4307958672,-23 21 43.706415816,4.7176 
HR   233,00 50 43.5977451408,+64 14 51.249546240,4.1492 
HR   234,00 50 18.2653153128,+45 00 08.135537076,9.6184 
HR   235,00 50 07.5889624710,-10 38 39.583852438,62.8022 
HR   236,00 48 35.4169875336,-74 55 24.367006020,15.042 
HR   237,00 51 16.3831719552,+61 48 19.779990984,0.9903 
HR   238,00 50 57.3955676136,+51 30 28.923950448,14.6627 
HR   239,00 50 03.7685557584,-43 23 41.882368596,10.2918 
HR   240,00 54 53.1400621608,+83 42 26.675355348,12.8256 
HR   241,00 51 33.7906792056,+51 34 17.128100028,2.9855 
HR   242,00 50 41.1863578128,-50 59 12.542201196,13.318 
HR   243,00 51 18.3239793695,+03 23 06.089651549,6.6821 
HR   244,00 53 04.1964421920,+61 07 26.299289856,52.9017 
HR   245,00 51 52.1692322400,-43 42 32.500234080,11.0616 
HR   246,00 52 53.3788392216,+38 32 55.796086284,4.4202 
HR   247,00 52 40.6245885024,-24 00 21.035123352,6.0619 
HR   248,00 53 00.4945225,-01 08 39.331693,5.56 
HR   249,00 53 28.2228286128,+37 25 05.531755188,8.4027 
HR   250,00 53 47.5997104680,+52 41 21.459958980,10.7987 
HR   251,00 53 12.46185,-24 46 36.7577,13.59 
HR   252,00 52 24.5193981768,-69 30 13.540622544,16.5718 
HR   253,00 55 00.1557027792,+58 58 21.717145956,9.062 
HR   254,00 54 35.2225703917,+19 11 18.319825643,13.0242 
HR   255,00 54 17.5927919832,-08 44 26.390035212,7.9239 
HR   256,00 55 05.2043429616,+48 40 42.681101412,3.2972 
HR   257,00 53 37.8777353232,-62 52 16.895532324,4.8264 
HR   258,00 54 58.10609,+23 37 41.9799,26.33 
HR   259,00 55 14.6732817072,+24 33 25.430887548,4.3336 
HR   260,00 56 12.9720285072,+57 59 47.610105576,4.8394 
HR   261,00 56 55.1327072016,+68 46 32.296544040,16.975 
HR   262,00 55 58.5097403400,+27 12 33.775041168,12.837 
HR   263,00 55 42.4001599992,-07 20 49.735392864,5.5954 
HR   264,00 56 42.5310945,+60 43 00.264089,5.94 
HR   265,00 56 39.9051464088,+59 10 51.805287084,16.6465 
HR   266,00 56 46.97166,+60 21 46.2192,6.06 
HR   267,00 56 01.4895888936,-11 15 59.493762540,6.2394 
HR   268,00 55 55.5372190128,-27 46 33.022422084,2.377 
HR   269,00 56 45.2090751570,+38 29 57.603377713,26.7046 
HR   270,00 55 00.3110878776,-69 31 37.504702308,14.4726 
HR   271,00 57 12.4002792266,+23 25 03.540083245,12.5624 
HR   272,00 57 39.6449343696,+45 50 21.768358776,7.8931 
HR   273,00 58 31.0619888328,+66 21 06.457611996,9.1239 
HR   274,00 57 50.1521728824,+28 59 31.970367024,3.9694 
HR   275,00 58 14.2189353000,+33 57 03.184089156,17.0697 
HR   276,00 57 54.5108791392,+13 41 45.102892344,5.7726 
HR   277,00 58 18.89105,+21 24 16.1799,7.71 
HR   278,01 00 31.0037451912,+70 58 58.765200960,9.4338 
HR   279,00 58 43.8680525208,-11 22 47.910692424,9.7501 
HR   280,00 58 36.3593029,-29 21 26.824714,4.20 
HR   281,00 58 22.2295530288,-60 41 46.458668796,5.6004 
HR   282,01 00 03.3828486168,+44 42 40.049003880,6.7799 
HR   283,01 00 03.5576514672,+44 42 47.691064620,6.7294 
HR   284,00 59 49.6871167920,+06 28 59.614071060,3.2912 
HR   285,01 08 44.8786355178,+86 15 25.526405536,10.8034 
HR   286,01 33 50.7100952640,+89 00 56.298084768,9.8361 
HR   287,01 02 18.4697156064,+51 02 05.810860428,4.6611 
HR   288,01 01 18.2754037248,-38 54 59.502318120,6.2059 
HR   289,01 03 01.54709,+47 22 34.1724,10.41 
HR   290,01 02 54.2547062352,+41 20 42.768780540,9.5651 
HR   291,01 02 49.0967880192,+31 48 15.342034716,8.4535 
HR   292,01 03 37.0033959120,+61 04 29.361361008,1.2096 
HR   293,01 02 26.4310587048,-31 33 07.249770720,16.1863 
HR   294,01 02 56.6083833328,+07 53 24.479451631,17.8074 
HR   295,01 02 01.8204200136,-57 00 08.594480880,8.0061 
HR   296,01 03 02.5369500840,-04 50 11.757188544,9.5083 
HR   297,01 04 19.4510863152,+61 34 48.662237964,12.7218 
HR   298,01 04 02.3905242984,+52 30 07.782640236,5.0346 
