name,alt_name,ra,dec,parallax
HR 1331,51    Tau,173.99593,-20.17006,
HR 1332,,199.7599,-37.0314,
HR 1333,,152.80338,0.57366,
HR 1334,,184.16691,-27.92952,
HR 1335,,145.99783,7.67041,
HR 1336,Alp Ret,274.31421,-41.65337,0.013
HR 1337,,159.23785,-5.88949,
HR 1338,Gam Dor,259.83485,-44.78492,0.061
HR 1339,53    Tau,174.51653,-20.27901,
HR 134,,117.96232,-34.41172,0.006
HR 1340,,273.94245,-41.72014,0.006
HR 1341,56    Tau,174.04368,-19.82838,
HR 1342,,149.02994,4.70411,
HR 1343,54    Per,164.4709,-10.95512,
HR 1344,,166.35448,-12.80858,
HR 1345,,216.86847,-42.62143,
HR 1346,54Gam Tau,179.08388,-23.81562,0.028
HR 1347,41Ups4Eri,234.6749,-45.47101,
HR 1348,52Phi Tau,169.83421,-15.94326,
HR 1349,,183.80795,-27.30384,
HR 135,,120.28283,-7.88278,
HR 1350,53    Per,156.08047,-2.40449,
HR 1351,57    Tau,180.45886,-24.79877,
HR 1352,,146.90648,6.99098,
HR 1353,,219.84138,-43.21407,
HR 1354,,176.61351,-21.68572,
HR 1355,Eps Ret,270.20403,-42.56361,0.067
HR 1356,58    Tau,179.66849,-24.00518,
HR 1357,,272.3001,-42.00905,0.015
HR 1358,,180.75999,-24.73423,
HR 1359,,234.86084,-45.24333,0.007
HR 136,Bet3Tuc,306.53588,-53.96605,0.049
HR 1360,,187.6145,-29.49129,
HR 1361,,184.80992,-27.61737,
HR 1362,,200.01701,-36.20011,
HR 1363,,201.49592,-36.83399,
HR 1364,,249.60898,-45.3164,0.005
HR 1365,,261.58485,-44.08603,
HR 1366,,193.74786,-32.85591,0.008
HR 1367,,217.00909,-42.06817,0.007
HR 1368,60    Tau,180.77628,-24.37803,
HR 1369,59Chi Tau,171.50599,-16.74234,
HR 137,16    Cas,121.24937,3.93418,
HR 1370,,175.25675,-19.9749,0.015
HR 1371,,159.23568,-5.01071,0.002
HR 1372,The Ret,275.08562,-41.01119,
HR 1373,61Del1Tau,178.01539,-22.00862,0.021
HR 1374,,223.73387,-43.29784,0.057
HR 1375,,175.31687,-19.66497,
HR 1376,63    Tau,178.72927,-22.41128,
HR 1377,55    Per,165.38449,-10.6503,
HR 1378,62    Tau,172.76297,-17.39262,
HR 1379,56    Per,165.53053,-10.74732,0.005
HR 138,,0.00629,-85.40033,
HR 1380,64Del2Tau,178.28871,-21.8596,0.017
HR 1381,66    Tau,185.11044,-26.87624,0.001
HR 1382,,148.74514,5.95859,
HR 1383,42Xi  Eri,197.82463,-34.29836,0.013
HR 1384,,222.74702,-42.74555,
HR 1385,,177.11639,-20.67608,
HR 1386,,237.27591,-44.56081,
HR 1387,65Kap1Tau,174.56457,-18.48362,0.025
HR 1388,67Kap2Tau,174.64726,-18.53701,
HR 1389,68Del3Tau,178.11762,-21.29458,0.019
HR 139,The Tuc,305.00861,-45.7893,
HR 1390,,167.62572,-12.24278,
HR 1391,70    Tau,179.79182,-22.53474,0.038
HR 1392,69Ups Tau,174.30193,-17.97868,0.036
HR 1393,43    Eri,235.17263,-44.22712,-0.008
HR 1394,71    Tau,180.18202,-22.60269,0.007
HR 1395,Eta Ret,275.01134,-40.52319,0.016
HR 1396,73Pi  Tau,180.98957,-23.12107,0.014
HR 1397,,186.30441,-26.90501,
HR 1398,,236.22727,-44.11996,
HR 1399,72    Tau,174.31299,-17.68787,
HR 14,,98.34419,-63.23671,
HR 140,,308.96793,-64.55576,0.038
HR 1400,,192.49724,-30.50209,
HR 1401,,137.88831,16.47963,
HR 1402,,184.15602,-25.10902,0.003
HR 1403,,175.52487,-18.45928,
HR 1404,,249.35249,-44.2439,
HR 1405,,266.90767,-42.26733,0.042
HR 1406,,168.84855,-12.53425,0.016
HR 1407,75    Tau,179.90129,-21.74528,
HR 1408,76    Tau,181.25828,-22.76695,
HR 1409,74Eps Tau,177.5965,-19.92371,0.02
HR 141,,116.76465,-49.30277,
HR 1410,,222.0026,-41.68602,0.019
HR 1411,77The1Tau,180.25663,-21.96955,0.038
HR 1412,78The2Tau,180.3475,-22.01062,0.029
HR 1413,,192.87822,-30.40457,
HR 1414,79    Tau,182.78078,-23.72726,
HR 1415,,193.41797,-30.56595,
HR 1416,,272.18238,-40.91785,
HR 1417,1    Cam,151.91421,3.95072,0.006
HR 1418,,253.17905,-43.71276,0.032
HR 1419,,167.52233,-10.84522,
HR 142,13    Cet,112.89947,-66.14869,0.06
HR 1420,,185.1299,-25.08748,
HR 1421,,216.34023,-39.90702,
HR 1422,80    Tau,180.78344,-21.87749,0.031
HR 1423,,208.77892,-37.40302,
HR 1424,,162.00925,-5.61925,
HR 1425,,185.41218,-25.17843,
HR 1426,Del Men,293.79834,-32.90413,
HR 1427,,180.38335,-21.45232,0.053
HR 1428,81    Tau,180.8196,-21.74882,
HR 1429,,246.26789,-43.80406,
HR 143,14    Cet,114.12216,-63.10521,
HR 1430,83    Tau,182.48835,-22.96928,
HR 1431,,209.53478,-37.39298,
HR 1432,85    Tau,180.88022,-21.42053,
HR 1433,,252.53682,-43.37142,
HR 1434,57    Per,160.01982,-3.26701,
HR 1435,,273.64087,-40.19917,
HR 1436,,190.14583,-27.59223,
HR 1437,45    Eri,195.33562,-30.62542,-0.009
HR 1438,,209.75254,-37.13227,
HR 1439,,237.61782,-43.04356,
HR 144,,120.66824,-8.63589,
HR 1440,,144.5352,11.30167,
HR 1441,,198.62195,-32.10221,
HR 1442,,179.34046,-19.75555,0.002
HR 1443,Del Cae,250.37173,-43.21812,
HR 1444,86Rho Tau,182.05003,-21.66502,0.026
HR 1445,,170.77349,-12.52759,
HR 1446,,186.77336,-24.93447,
HR 1447,,206.77774,-35.50294,
HR 1448,,190.32457,-27.08004,
HR 1449,46    Eri,202.47422,-33.54611,
HR 145,,117.10894,-49.48942,0.02
HR 1450,,202.62431,-33.52197,
HR 1451,47    Eri,204.10378,-34.17971,0.006
HR 1452,,204.90092,-34.51562,0.01
HR 1453,50Ups1Eri,229.85849,-41.58753,0.028
HR 1454,58    Per,161.7612,-4.03198,0.016
HR 1455,,178.1449,-18.18659,
HR 1456,Nu  Men,295.06703,-32.04706,
HR 1457,87Alp Tau,180.97189,-20.24849,0.048
HR 1458,88    Tau,186.40293,-24.12581,0.036
HR 1459,,175.46701,-15.85369,
HR 146,,121.07681,-2.49167,
HR 1460,,205.87241,-34.62981,
HR 1461,,217.54731,-38.64975,
HR 1462,,199.53286,-31.56858,
HR 1463,48Nu  Eri,199.3117,-31.37622,
HR 1464,52Ups2Eri,231.01236,-41.30611,-0.014
HR 1465,Alp Dor,263.83256,-41.41531,0.018
HR 1466,2    Cam,153.0306,4.52768,0.019
HR 1467,3    Cam,153.32075,4.26096,-0.008
HR 1468,,135.05245,19.65444,0.015
HR 1469,,195.13436,-28.93889,
HR 147,Lam2Phe,310.26683,-68.90248,
HR 1470,,172.91662,-13.19544,0.021
HR 1471,,177.88368,-17.21659,
HR 1472,89    Tau,181.72314,-20.11644,
HR 1473,90    Tau,184.73695,-22.24059,0.024
HR 1474,51    Eri,198.61224,-30.65767,0.034
HR 1475,,273.73613,-39.47139,
HR 1476,,231.28307,-41.06042,
HR 1477,,174.4081,-14.14632,
HR 1478,91Sig1Tau,182.07578,-20.06878,0.021
HR 1479,92Sig2Tau,181.99466,-19.97357,0.02
HR 148,,307.8311,-62.15503,
HR 1480,,188.99513,-24.7584,
HR 1481,53    Eri,211.3196,-35.89599,0.044
